Name,P,q,M1,M2,R1,R2,L1,L2,T1,T2,E_Type
VW boo,0.342315,0.428,1.036,0.443,1.087,0.742,1.012,0.333,5560,5099,C
TW Cet,0.316851,0.75,0.722,0.963,0.831,0.95,0.733,0.886,6765,5230,C
AH Aur,0.494106,0.169,1.669,0.282,1.852,0.891,5.094,1.206,5560,5272,C
AU Ser,0.386498,0.709,0.893,0.633,1.147,0.898,1.19,0.578,5636,5320,C
V2357 Oph,0.415568,0.231,1.16,0.268,1.386,0.705,1.646,0.39,5560,5440,C
AQ Psc,0.475604,0.226,1.661,0.375,1.708,0.891,3.987,0.937,5940,5717,C
DY Cet,0.44079,0.356,1.436,0.511,1.48,0.938,3.84,1.507,5865,5753,C
OU Ser,0.296768,0.173,1.187,0.205,1.155,0.544,1.488,0.292,5940,5759,C
OO Aql,0.506794,0.846,1.067,0.902,1.386,1.288,2.371,1.767,6093,5871,C
EQ Tau,0.34135,0.442,1.245,0.55,1.16,0.805,1.355,0.618,5940,5906,C
VZ Lib,0.358256,0.33,1.063,0.351,1.173,0.72,1.385,0.592,5790,5974,C
AK Her,0.421524,0.277,1.175,0.326,1.372,0.775,3.531,0.76,6765,6130,C
EL Aqr,0.481412,0.203,1.655,0.336,1.764,0.898,6.248,1.025,6881,6137,C
CK Boo,0.355152,0.111,1.584,0.176,1.533,0.65,3.211,0.572,6250,6234,C
AG Vir,0.642648,0.382,2.139,0.817,2.201,1.458,19.432,6.165,6250,6247,C
DZ Psc,0.366131,0.136,1.358,0.185,1.462,0.667,3.174,0.626,6381,6294,C
UZ Leo,0.618057,0.303,2.01,0.609,2.165,1.318,10.964,4.089,6881,6378,C
V839 Oph,0.409008,0.305,1.63,0.497,1.546,0.955,3.55,1.392,6381,6424,C
V407 Peg,0.636882,0.256,1.922,0.492,1.965,1.305,9.928,2.62,7300,6438,C
V357 Peg,0.57845,0.401,1.72,0.69,2.12,1.25,9.673,2.406,7000,6438,C
XX Sex,0.540108,0.1,1.301,0.13,1.87,0.696,7.021,0.717,6650,6448,C
AP Leo,0.430358,0.297,1.437,0.427,1.486,0.872,3.019,1.037,6650,6616,C
V868 Mon,0.637704,0.373,2.117,0.79,2.209,1.465,10.494,3.614,6514,6662,C
HI Pup,0.432618,0.19,1.245,0.237,1.519,0.763,3.721,1.029,6881,6801,C
NN Vir,0.480688,0.491,1.774,0.871,1.723,1.294,6.941,4.033,7148,7201,C
Y Sex,0.487736,0.195,1.471,0.287,1.568,0.795,4.305,0.979,7300,7265,C
TY Pup,0.819243,0.25,1.422,0.272,2.448,1.248,12.041,2.987,7640,7744,C
EW ORI,6.9368,0.52,1.05,0.55,0.98,0.68,0.89,0.98,5660,5720,C
UX MEN,4.1811,0.52,1.05,0.55,0.98,0.68,0.89,0.98,5660,5720,C
AQ SER,1.68739,0.38,1.2,0.45,1.14,0.64,1.2,2.454708916,9700,6280,C
UZ DRA,3.2613,0.55,1.25,0.69,1.12,0.64,1.2,2.454708916,9700,6280,C
V 646 CEN,2.24657,0.55,1.25,0.69,1.12,0.64,1.2,2.454708916,9700,6280,C
WX CNC,1.22458,0.4,1.55,0.63,1.4,0.8,4.68,5.12861384,6180,6820,C
WX CNC,1.22458,0.4,1.55,0.63,1.4,0.8,4.68,5.12861384,6180,6820,C
HY MON,1.56574,0.64,1.5,0.95,1.4,1,5.13,6.165950019,6350,7020,C
EP AUR,0.591009,0.64,1.5,0.95,1.4,1,5.13,6.165950019,6350,7020,C
SS BOO,7.60606,0.45,1.22,0.55,1.14,0.7,1.35,7.244359601,5930,7220,C
BU VUL,0.568993,0.45,1.22,0.55,1.14,0.7,1.35,7.244359601,5930,7220,C
U CrB,3.4522,0.21,2.7,0.6,2,1.94,19.498446,1.047128548,8600,4200,C
XY Cep,2.7745,0.21,2.7,0.6,2,1.94,19.498446,1.047128548,8600,4200,C
RT Umi,1.842,0.21,2.7,0.6,2,1.94,19.498446,1.047128548,8600,4200,C
UX Her,1.5489,0.21,2.7,0.6,2,1.94,19.498446,1.047128548,8600,4200,C
V338 Her,1.3057,0.21,2.7,0.6,2,1.94,19.498446,1.047128548,8600,4200,C
AT Peg,1.1461,0.21,2.7,0.6,2,1.94,19.498446,1.047128548,8600,4200,C
XY UMa...,0.479,0.21,2.7,0.6,2,1.94,19.498446,1.047128548,8600,4200,C
CW CAS,0.318865,0.21,2.7,0.6,2,1.94,19.498446,1.047128548,8600,4200,C
CW CAS,0.318865,0.21,2.7,0.6,2,1.94,19.498446,1.047128548,8600,4200,C
CC Com...,0.221,0.21,2.7,0.6,2,1.94,19.498446,1.047128548,8600,4200,C
AD CNC,0.277172,0.7,1.17,0.82,2.32,2.08,5.56,4.47,5850,5850,C
V 689 CYG,1.45529,0.68,1.45,0.98,2.12,1.83,5.28,3.7,6030,5930,C
VV VIR,0.446122,0.68,1.45,0.98,2.12,1.83,5.28,3.7,6030,5930,C
V 689 CYG,1.45529,0.59,2.76,1.63,2.16,1.75,58.29,4.3,10910,6300,C
MR CAS,0.352936,0.59,2.76,1.63,2.16,1.75,58.29,4.3,10910,6300,C
BO GEM,4.0686,0.73,1.48,1.08,2.11,1.79,11.44,4.89,7350,6450,C
V 747 CEN,0.537195,0.73,1.48,1.08,2.11,1.79,11.44,4.89,7350,6450,C
RT LAC,5.07402,0.6,2.76,1.65,2.71,2.23,56.12,12.5,9640,7290,C
WZ AND,0.695662,0.6,2.76,1.65,2.71,2.23,56.12,12.5,9640,7290,C
FI Lac,4.257945,0.69,1.45,1,1.4,1.4,3.9,0.98,6850,4850,C
HX Car,3.242949,0.69,1.45,1,1.4,1.4,3.9,0.98,6850,4850,C
FI Lac,4.257945,0.2,2.5,0.5,2.07,1,17.21,0.6,8220,5120,C
HX Car,3.242949,0.2,2.5,0.5,2.07,1,17.21,0.6,8220,5120,C
TX Boo,3.412946,0.59,1.64,0.97,2.09,1.59,6.49,1.81,6400,5330,C
V519 Sco,0.655815,0.59,1.64,0.97,2.09,1.59,6.49,1.81,6400,5330,C
TX Boo,3.412946,0.15,2.96,0.44,2.34,1.31,14.66,1.31,7420,5410,C
V519 Sco,0.655815,0.15,2.96,0.44,2.34,1.31,14.66,1.31,7420,5410,C
V1730 Sgr,5.55094,0.74,1.44,1.06,1.4,1.28,1.73,1.29,5630,5480,C
DM Hya,0.78685,0.74,1.44,1.06,1.4,1.28,1.73,1.29,5630,5480,C
V350 Cas,2.057264,0.44,1.3,0.57,1.2,0.8,2.45,0.89,5270,5660,C
V604 CrA,2.0352675,0.44,1.3,0.57,1.2,0.8,2.45,0.89,5270,5660,C
V1995 Sgr,1.7243356,0.42,1.65,0.69,1.45,0.86,1.35,0.98,5660,5720,C
AA CMa,1.401912,0.42,1.65,0.69,1.45,0.86,1.35,0.98,5660,5720,C
V1730 Sgr,5.55094,0.5,1.81,0.9,1.25,1.56,1.71,2.28,6980,5770,C
DM Hya,0.78685,0.5,1.81,0.9,1.25,1.56,1.71,2.28,6980,5770,C
DK Per,0.898876,0.3,3.16,0.94,2.93,1.47,65.08,2.16,9610,5800,C
AG Phe,0.75533809,0.3,3.16,0.94,2.93,1.47,65.08,2.16,9610,5800,C
DK Per,0.898876,0.72,1.43,1.03,1.64,1.39,3.97,2.21,6420,5990,C
AG Phe,0.75533809,0.72,1.43,1.03,1.64,1.39,3.97,2.21,6420,5990,C
EI Mon,0.910743,0.74,1.49,1.09,1.7,1.49,6.6,2.82,7120,6160,C
VV Ant,0.78418,0.74,1.49,1.09,1.7,1.49,6.6,2.82,7120,6160,C
EI Mon,0.910743,0.73,1.48,1.08,1.51,1.23,4.54,1.99,6910,6210,C
VV Ant,0.78418,0.73,1.48,1.08,1.51,1.23,4.54,1.99,6910,6210,C
PU Cen,1.145229,0.86,1.6,1.38,1.64,1.45,4.27,2.94,6510,6300,C
NS Cep,0.7763644,0.86,1.6,1.38,1.64,1.45,4.27,2.94,6510,6300,C
FL Sge,2.0929,0.37,1.3,0.48,1.2,0.67,1.66,3.630780548,6280,6550,C
AC Nor,1.29338,0.37,1.3,0.48,1.2,0.67,1.66,3.630780548,6280,6550,C
AC Nor,1.29338,0.48,1.18,0.57,1.1,0.68,1.02,3.630780548,6280,6550,C
LS Ser,0.9803404,0.48,1.18,0.57,1.1,0.68,1.02,3.630780548,6280,6550,C
PU Cen,1.145229,0.61,2.78,1.69,1.91,1.66,20.21,5.77,8900,6960,C
NS Cep,0.7763644,0.61,2.78,1.69,1.91,1.66,20.21,5.77,8900,6960,C
DU Vel,1.552563,0.5,2.53,1.27,3.23,2.34,42.9,11.39,8260,6970,C
DU Vel,1.552563,0.5,2.53,1.27,3.23,2.34,42.9,11.39,8260,6970,C
CH Per,1.314649,0.5,2.53,1.27,3.23,2.34,42.9,11.39,8260,6970,C
CH Per,1.314649,0.5,2.53,1.27,3.23,2.34,42.9,11.39,8260,6970,C
V589 Aql,1.2909125,0.5,2.53,1.27,3.23,2.34,42.9,11.39,8260,6970,C
V589 Aql,1.2909125,0.5,2.53,1.27,3.23,2.34,42.9,11.39,8260,6970,C
SX Cru,0.901374,0.5,2.53,1.27,3.23,2.34,42.9,11.39,8260,6970,C
SX Cru,0.901374,0.5,2.53,1.27,3.23,2.34,42.9,11.39,8260,6970,C
V373 Lyr,1.3575237,0.61,2.9,1.77,2.89,2.13,48.33,11.02,8970,7240,C
AO CMi,0.85310722,0.61,2.9,1.77,2.89,2.13,48.33,11.02,8970,7240,C
V373 Lyr,1.3575237,0.5,2.53,1.26,4.36,2.36,83.13,15.54,8380,7510,C
AO CMi,0.85310722,0.5,2.53,1.26,4.36,2.36,83.13,15.54,8380,7510,C
V511 CrA,1.3984752,0.85,2.65,2.25,2.51,2.27,57.69,20.44,10090,8180,C
EG Gem,1.273392,0.85,2.65,2.25,2.51,2.27,57.69,20.44,10090,8180,C
MN Nor,1.6394,0.75,3,2.26,2.32,2.02,38.87,26.3,9510,9230,C
TX Oct,0.907137,0.75,3,2.26,2.32,2.02,38.87,26.3,9510,9230,C
V1732 Sgr,1.884797,0.708,0.779,0.552,0.695,0.599,0.148,0.086,4200,3955,C
CC Com,0.22068597,0.525801953,0.717,0.377,0.708,0.53,0.17,0.078313665,4440,4200,C
V993 Sgr,0.834706,0.69,0.88,0.61,0.82,0.82,0.19,0.19,4250,4250,C
V630 Cen,0.7295246,0.69,0.88,0.61,0.82,0.82,0.19,0.19,4250,4250,C
CO Per,1.819184,0.51,0.693,0.356,0.73,0.57,0.237,0.137,4700,4637,C
CS Pup,2.659365,0.74,0.68,0.5,0.68,0.53,0.2,0.28,4830,4830,C
CS Pup,2.659365,0.74,0.68,0.5,0.68,0.53,0.2,0.28,4830,4830,C
V977 Sgr,2.615713,0.74,0.68,0.5,0.68,0.53,0.2,0.28,4830,4830,C
V977 Sgr,2.615713,0.74,0.68,0.5,0.68,0.53,0.2,0.28,4830,4830,C
VZ Psc,0.26125912,0.802469136,0.81,0.65,0.78,0.7,0.17,0.240916293,4440,4840,C
V925 Cyg,2.97919,0.7,0.88,0.62,1.08,0.84,0.63,0.4,4960,5010,C
V630 Cen,0.7295246,0.7,0.88,0.62,1.08,0.84,0.63,0.4,4960,5010,C
V1076 Oph,1.874345,0.9,0.82,0.74,0.76,0.66,0.28,0.37,5680,5100,C
V1076 Oph,1.874345,0.9,0.82,0.74,0.76,0.66,0.28,0.37,5680,5100,C
V1011 Cyg,3.2393706,0.7,0.76,0.53,0.75,0.56,0.28,0.37,5680,5100,C
V1011 Cyg,3.2393706,0.7,0.76,0.53,0.75,0.56,0.28,0.37,5680,5100,C
AU Ser,0.386499242,0.709497207,0.895,0.635,1.1,0.94,0.988427463,0.558193691,5495,5153,C
DD Mon,0.56801845,0.577319588,1.94,1.12,1.62,1.37,3.587886903,1.23143409,6250,5202,C
GZ And,0.305018323,0.52,1.25,0.65,1.06,0.78,0.639825084,0.417273523,5021,5260,C
V683 Cyg,4.65132,0.68,0.83,0.56,0.8,0.6,0.41,0.46,9300,5270,C
V683 Cyg,4.65132,0.68,0.83,0.56,0.8,0.6,0.41,0.46,9300,5270,C
FU Sct,1.661503,0.68,0.83,0.56,0.8,0.6,0.41,0.46,9300,5270,C
FU Sct,1.661503,0.68,0.83,0.56,0.8,0.6,0.41,0.46,9300,5270,C
IM Gem,1.427281,0.4,0.9,0.36,1.15,0.7,0.46,0.46,5270,5270,C
IM Gem,1.427281,0.4,0.9,0.36,1.15,0.7,0.46,0.46,5270,5270,C
V925 Cyg,2.97919,0.75,1.15,0.86,0.95,0.9,0.8,0.58,5620,5330,C
LL Cep,0.7841514,0.75,1.15,0.86,0.95,0.9,0.8,0.58,5620,5330,C
BN Leo,1.703688,0.52,0.98,0.51,0.99,0.85,0.93,0.52,5740,5350,C
LL Cep,0.7841514,0.52,0.98,0.51,0.99,0.85,0.93,0.52,5740,5350,C
BN Leo,1.703688,0.75,1.14,0.86,1.04,1.04,0.9,0.82,5530,5400,C
TU CMa,1.1278041,0.75,1.14,0.86,1.04,1.04,0.9,0.82,5530,5400,C
V614 Cyg,7.2513,0.63,1.54,0.98,1.5,1.1,2.07,0.94,5680,5460,C
TU CMa,1.1278041,0.63,1.54,0.98,1.5,1.1,2.07,0.94,5680,5460,C
OO Aql,0.50678967,0.847619048,1.05,0.89,1.38,1.28,1.801134901,1.316112277,5700,5472,C
SW Lac,0.3207183,0.801639344,1.22,0.978,1.12,1.02,0.940872703,0.866083926,5379,5521,C
V614 Cyg,7.2513,0.67,1.19,0.81,0.99,0.94,0.81,0.74,5540,5550,C
GI Aur,1.207857,0.67,1.19,0.81,0.99,0.94,0.81,0.74,5540,5550,C
TX UMa,3.0632382,0.62,0.93,0.58,0.87,0.62,0.68,0.74,5270,5550,C
TX UMa,3.0632382,0.62,0.93,0.58,0.87,0.62,0.68,0.74,5270,5550,C
EH Peg,2.374431,0.62,0.93,0.58,0.87,0.62,0.68,0.74,5270,5550,C
EH Peg,2.374431,0.62,0.93,0.58,0.87,0.62,0.68,0.74,5270,5550,C
V609 Aql,0.796565,0.62,0.93,0.58,0.87,0.62,0.68,0.74,5270,5550,C
V609 Aql,0.796565,0.62,0.93,0.58,0.87,0.62,0.68,0.74,5270,5550,C
QT Cen,4.596359,0.6,1.56,0.94,1.3,1.16,1.62,1.17,5730,5600,C
GI Aur,1.207857,0.6,1.56,0.94,1.3,1.16,1.62,1.17,5730,5600,C
EU Peg,0.721114,0.5,1,0.5,1.18,0.8,1.35,0.79,5380,5600,C
EU Peg,0.721114,0.5,1,0.5,1.18,0.8,1.35,0.79,5380,5600,C
GW Gem,0.65944401,0.47,1.8,0.85,1.6,1,0.79,0.79,5380,5600,C
GW Gem,0.65944401,0.47,1.8,0.85,1.6,1,0.79,0.79,5380,5600,C
BD Cir,0.86956,0.53,1,0.53,0.94,0.62,0.79,0.79,5380,5600,C
BD Cir,0.86956,0.53,1,0.53,0.94,0.62,0.79,0.79,5380,5600,C
EX And,1.63251,0.6,0.97,0.58,0.91,0.63,0.74,0.79,5380,5600,C
EX And,1.63251,0.6,0.97,0.58,0.91,0.63,0.74,0.79,5380,5600,C
DL CrA,0.5769555,0.62,0.96,0.6,0.9,0.68,0.74,0.79,5380,5600,C
DL CrA,0.5769555,0.62,0.96,0.6,0.9,0.68,0.74,0.79,5380,5600,C
V404 Lyr,0.73094585,0.58,0.96,0.55,0.9,0.6,0.74,0.79,5380,5600,C
V404 Lyr,0.73094585,0.58,0.96,0.55,0.9,0.6,0.74,0.79,5380,5600,C
IR Lac,0.6515045,0.6,0.96,0.58,0.9,0.67,0.68,0.79,5380,5600,C
IR Lac,0.6515045,0.6,0.96,0.58,0.9,0.67,0.68,0.79,5380,5600,C
SX Lup,0.6858441,0.5,0.92,0.46,0.89,0.56,0.68,0.79,5380,5600,C
SX Lup,0.6858441,0.5,0.92,0.46,0.89,0.56,0.68,0.79,5380,5600,C
QX Cyg,0.89961,0.6,0.95,0.57,0.9,0.62,0.55,0.79,5380,5600,C
QX Cyg,0.89961,0.6,0.95,0.57,0.9,0.62,0.55,0.79,5380,5600,C
QT Cen,4.596359,0.67,1.19,0.81,1.07,0.84,1.11,0.62,5760,5610,C
DP Cep,1.2699676,0.67,1.19,0.81,1.07,0.84,1.11,0.62,5760,5610,C
V360 Cas,1.50059,0.57,1.52,0.88,1.48,1.44,2.33,1.86,5900,5630,C
OV Car,1.276572,0.57,1.52,0.88,1.48,1.44,2.33,1.86,5900,5630,C
DQ Vel,6.08337,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
DQ Vel,6.08337,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
V401 Sgr,3.107695,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
V401 Sgr,3.107695,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
V1345 Aql,3.0283388,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
V1345 Aql,3.0283388,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
V1045 Aql,2.19375,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
V1045 Aql,2.19375,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
BO Vul,1.945869,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
BO Vul,1.945869,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
V360 Cas,1.50059,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
DP Cep,1.2699676,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
VY Vul,0.8843484,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
VY Vul,0.8843484,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
WX Eri,0.82327038,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
WX Eri,0.82327038,0.61,1.56,0.94,1.41,1.1,1.99,1.06,5800,5630,C
V550 Oph,0.569383,0.6,1.2,0.72,1.13,0.75,0.89,0.9,5660,5660,C
V550 Oph,0.569383,0.6,1.2,0.72,1.13,0.75,0.89,0.89,5660,5660,C
SX CMi,3.4304,0.5,1.8,0.9,1.65,1.05,0.89,0.89,5270,5660,C
SX CMi,3.4304,0.5,1.8,0.9,1.65,1.05,0.89,0.89,5270,5660,C
V444 Ara,2.373,0.59,1.04,0.61,0.96,0.67,0.79,0.89,5270,5660,C
V444 Ara,2.373,0.59,1.04,0.61,0.96,0.67,0.79,0.89,5270,5660,C
V705 Sgr,1.22775,0.6,1.02,0.61,0.95,0.66,0.79,0.89,5270,5660,C
V705 Sgr,1.22775,0.6,1.02,0.61,0.95,0.66,0.79,0.89,5270,5660,C
DU Lyr,0.837,0.58,1.03,0.6,0.95,0.65,0.79,0.89,5270,5660,C
DU Lyr,0.837,0.58,1.03,0.6,0.95,0.65,0.79,0.89,5270,5660,C
V385 Cen,1.062665,0.58,1,0.58,0.95,0.65,0.79,0.89,5270,5660,C
V385 Cen,1.062665,0.58,1,0.58,0.95,0.65,0.79,0.89,5270,5660,C
YY Cet,0.7904596,0.6,0.98,0.59,0.92,0.64,0.79,0.89,5270,5660,C
YY Cet,0.7904596,0.6,0.98,0.59,0.92,0.64,0.79,0.89,5270,5660,C
CD Aps,0.89366,0.6,0.97,0.58,0.9,0.63,0.74,0.89,5270,5660,C
CD Aps,0.89366,0.6,0.97,0.58,0.9,0.63,0.74,0.89,5270,5660,C
V1345 Cyg,1.427184,0.6,0.94,0.56,0.88,0.62,0.68,0.89,5270,5660,C
V1345 Cyg,1.427184,0.6,0.94,0.56,0.88,0.62,0.68,0.89,5270,5660,C
V673 Cen,0.932792,0.4,0.92,0.37,0.9,0.55,0.46,0.89,5270,5660,C
V673 Cen,0.932792,0.4,0.92,0.37,0.9,0.55,0.46,0.89,5270,5660,C
CQ Aqr,0.98006,0.58,1.02,0.59,0.95,0.65,0.89,0.391243914,5660,5670,C
V899 Her,0.42117138,0.566666667,2.1,1.19,1.57,1.22,2.331242081,1.385108788,5700,5677,C
V780 Sgr,0.86031,0.6,1.02,0.6,0.94,0.65,0.79,0.91,5480,5680,C
EX Nor,0.716284,0.6,1.02,0.6,0.94,0.65,0.79,0.91,5480,5680,C
V423 Her,2.651009,0.56,1,0.56,0.95,0.64,0.74,0.91,5480,5680,C
V780 Sgr,0.86031,0.56,1,0.56,0.95,0.64,0.74,0.91,5480,5680,C
V423 Her,2.651009,0.58,1,0.58,0.93,0.64,0.74,0.91,5480,5680,C
V360 Ara,2.605,0.58,1,0.58,0.93,0.64,0.74,0.91,5480,5680,C
V360 Ara,2.605,0.56,1.1,0.62,1,0.68,0.68,0.91,5480,5680,C
V399 Cen,1.746685,0.56,1.1,0.62,1,0.68,0.68,0.91,5480,5680,C
DL Sge,0.8572706,0.44,1.6,0.7,1.45,0.87,7.24,0.98,5660,5720,C
DL Sge,0.8572706,0.44,1.6,0.7,1.45,0.87,7.24,0.98,5660,5720,C
VV Ara,1.00937,0.55,1.7,0.94,1.45,0.96,1.35,0.98,5660,5720,C
VV Ara,1.00937,0.55,1.7,0.94,1.45,0.96,1.35,0.98,5660,5720,C
EX Nor,0.716284,0.58,1.02,0.59,0.95,0.65,0.89,0.98,5660,5720,C
DS Sge,2.65094,0.67,1.19,0.81,1.1,1.1,1.16,1.16,5740,5740,C
OV Car,1.276572,0.67,1.19,0.81,1.1,1.1,1.16,1.16,5740,5740,C
V1281 Cyg,2.9644389,0.52,1.1,0.57,1.07,0.7,1.35,1.02,5930,5770,C
V1281 Cyg,2.9644389,0.52,1.1,0.57,1.07,0.7,1.35,1.02,5930,5770,C
OS Lac,1.4443624,0.5,1.17,0.58,1.08,0.69,0.98,1.02,5270,5770,C
OS Lac,1.4443624,0.5,1.17,0.58,1.08,0.69,0.98,1.02,5270,5770,C
BR Cyg,1.3325642,0.48,1.1,0.53,1.03,0.68,0.91,1.02,5270,5770,C
BR Cyg,1.3325642,0.48,1.1,0.53,1.03,0.68,0.91,1.02,5270,5770,C
V1555 Sgr,1.6148,0.56,1.1,0.62,1,0.68,0.91,1.02,5270,5770,C
V1555 Sgr,1.6148,0.56,1.1,0.62,1,0.68,0.91,1.02,5270,5770,C
X Tri,0.9715352,0.58,1.06,0.61,0.98,0.67,0.91,1.02,5270,5770,C
X Tri,0.9715352,0.58,1.06,0.61,0.98,0.67,0.91,1.02,5270,5770,C
V501 Oph,0.9679504,0.64,0.92,0.59,0.86,0.63,0.68,1.02,5270,5770,C
V501 Oph,0.9679504,0.64,0.92,0.59,0.86,0.63,0.68,1.02,5270,5770,C
LU Pav,1.2064,0.52,1,0.52,0.96,0.63,0.46,1.02,5270,5770,C
LU Pav,1.2064,0.52,1,0.52,0.96,0.63,0.46,1.02,5270,5770,C
DM Peg,2.588991,0.67,1.19,0.81,1.08,1.08,1.16,1.16,5800,5800,C
V1526 Sgr,2.2364,0.67,1.19,0.81,1.08,1.08,1.16,1.16,5800,5800,C
DS Sge,2.65094,0.78,1.12,0.88,1.05,1.05,1.11,1.11,5800,5800,C
V1526 Sgr,2.2364,0.78,1.12,0.88,1.05,1.05,1.11,1.11,5800,5800,C
V508 Oph,0.34479141,0.514851485,1.01,0.52,1.07,0.8,1.329416924,0.662434342,6000,5830,C
DM Peg,2.588991,0.6,1.63,0.98,1.21,0.92,2.39,0.9,6560,5850,C
V1544 Sgr,2.5252,0.6,1.63,0.98,1.21,0.92,2.39,0.9,6560,5850,C
EQ Tau,0.3413478,0.442622951,1.22,0.54,1.14,0.79,1.373057779,0.655334786,5860,5851,C
SU Boo,1.561248,0.45,1.4,0.63,1.4,0.85,1.66,1.202264435,6050,5860,C
SU Boo,1.561248,0.45,1.4,0.63,1.4,0.85,1.66,1.202264435,6050,5860,C
V484 Cyg,1.293825,0.46,1.56,0.72,1.4,0.85,1.35,1.2,5600,5860,C
V484 Cyg,1.293825,0.46,1.56,0.72,1.4,0.85,1.35,1.2,5600,5860,C
AT Cas,1.595557,0.4,1.16,0.46,1.1,0.63,0.98,1.2,5600,5860,C
AT Cas,1.595557,0.4,1.16,0.46,1.1,0.63,0.98,1.2,5600,5860,C
V822 Cyg,1.26777466,0.45,1.15,0.52,1.07,0.65,0.98,1.2,5600,5860,C
V822 Cyg,1.26777466,0.45,1.15,0.52,1.07,0.65,0.98,1.2,5600,5860,C
V749 Sgr,1.73358,0.54,1.1,0.59,1.01,0.67,0.89,1.2,5600,5860,C
V749 Sgr,1.73358,0.54,1.1,0.59,1.01,0.67,0.89,1.2,5600,5860,C
V1447 Sgr,1.2543,0.62,1,0.63,0.96,0.67,0.89,1.2,5600,5860,C
V1447 Sgr,1.2543,0.62,1,0.63,0.96,0.67,0.89,1.2,5600,5860,C
V1126 Sgr,1.513268,0.6,1.02,0.61,0.95,0.67,0.89,1.2,5600,5860,C
V1126 Sgr,1.513268,0.6,1.02,0.61,0.95,0.67,0.89,1.2,5600,5860,C
LU Cen,1.55497,0.57,1,0.57,0.93,0.64,0.79,1.2,5600,5860,C
LU Cen,1.55497,0.57,1,0.57,0.93,0.64,0.79,1.2,5600,5860,C
ER Vul,0.69809409,0.957142857,1.12,1.072,1.166,1.185,1.578667792,1.507025984,6000,5883,C
V580 CrA,6.85005,0.75,1.72,1.28,1.38,1.23,2.3,1.61,6080,5890,C
V1544 Sgr,2.5252,0.75,1.72,1.28,1.38,1.23,2.3,1.61,6080,5890,C
TYC 4157-0683-1,0.3960676,0.15702,1.367,0.206,1.499,0.667,2.674093667,0.483001368,6037,5900,C
BB Peg,0.3615006,0.373239437,1.42,0.53,1.29,0.83,2.275035282,0.750454626,6250,5905,C
V580 CrA,6.85005,0.67,1.19,0.8,1.01,1.01,1.11,1.11,5910,5910,C
V1066 Cyg,1.548602,0.67,1.19,0.8,1.01,1.01,1.11,1.11,5910,5910,C
AK CMa,1.8081903,0.33,1.7,0.56,1.6,0.8,1.95,1.35,5660,5930,C
AK CMa,1.8081903,0.33,1.7,0.56,1.6,0.8,1.95,1.35,5660,5930,C
IM Hya,1.7821,0.54,1.7,0.92,1.5,1,1.35,1.35,5660,5930,C
IM Hya,1.7821,0.54,1.7,0.92,1.5,1,1.35,1.35,5660,5930,C
NX Cen,1.7605,0.46,1.65,0.76,1.45,0.88,1.35,1.35,5660,5930,C
NX Cen,1.7605,0.46,1.65,0.76,1.45,0.88,1.35,1.35,5660,5930,C
GY Cen,1.5916,0.38,1.52,0.58,1.4,0.77,1.35,1.35,5660,5930,C
GY Cen,1.5916,0.38,1.52,0.58,1.4,0.77,1.35,1.35,5660,5930,C
IS Ara,1.67,0.4,1.31,0.52,1.2,0.7,1.35,1.35,5660,5930,C
IS Ara,1.67,0.4,1.31,0.52,1.2,0.7,1.35,1.35,5660,5930,C
V359 Lac,2.20994,0.43,1.7,0.73,1.5,0.88,1.2,1.35,5660,5930,C
V359 Lac,2.20994,0.43,1.7,0.73,1.5,0.88,1.2,1.35,5660,5930,C
V1228 Cyg,1.66679,0.42,1.21,0.51,1.12,0.66,1.2,1.35,5660,5930,C
V1228 Cyg,1.66679,0.42,1.21,0.51,1.12,0.66,1.2,1.35,5660,5930,C
AS And,1.7002,0.47,1.2,0.56,1.1,0.73,1.2,1.35,5660,5930,C
AS And,1.7002,0.47,1.2,0.56,1.1,0.73,1.2,1.35,5660,5930,C
V725 Cyg,1.46324,0.25,1.6,0.4,1.5,0.7,1.02,1.35,5660,5930,C
V725 Cyg,1.46324,0.25,1.6,0.4,1.5,0.7,1.02,1.35,5660,5930,C
DR Aqr,1.277989,0.48,1.25,0.6,1.18,0.74,1.02,1.35,5660,5930,C
DR Aqr,1.277989,0.48,1.25,0.6,1.18,0.74,1.02,1.35,5660,5930,C
